"ID","영문식별자(Key)","기술명(한국어)","기술명(영어)","타입(Type)","분류(Category)","위력(Power)","명중률(Accuracy)","기본PP","한국어설명(Description Ko)","영어설명(Description En)"
"172","flame-wheel","화염바퀴","flame-wheel","fire","physical","60","100","25","불꽃을 둘러 상대에게 돌진하여 공격한다. 화상 상태로 만들 때가 있다.","Has a 10% chance to burn the target."
"173","snore","코골기","snore","normal","special","50","100","15","자신이 잠들어있을 때 소음을 내어 공격한다. 상대를 풀죽게 만들 때가 있다.","Has a 30% chance to make the target flinch. Fails if the user is not asleep."
"174","curse","저주","curse","ghost","status","","","10","기술을 쓰는 포켓몬이 고스트타입일 때와 그 이외의 타입일 때는 효과가 다르다.","If the user is not a Ghost type, lowers the user's Speed by 1 stage and raises the user's Attack and Defense by 1 stage. If the user is a Ghost type, the user loses 1/2 of its maximum HP, rounded down and even if it would cause fainting, in exchange for the target losing 1/4 of its maximum HP, rounded down, at the end of each turn while it is active. If the target uses Baton Pass, the replacement will continue to be affected. Fails if there is no target or if the target is already affected."
"175","flail","바둥바둥","flail","normal","physical","","100","15","바둥바둥 난동 부려서 공격한다. 자신의 HP가 적을수록 기술의 위력이 올라간다.","The power of this move is 20 if X is 33 to 48, 40 if X is 17 to 32, 80 if X is 10 to 16, 100 if X is 5 to 9, 150 if X is 2 to 4, and 200 if X is 0 or 1, where X is equal to (user's current HP * 48 / user's maximum HP), rounded down."
"176","conversion-2","텍스처2","conversion-2","normal","status","","","30","상대가 마지막으로 쓴 기술에 저항할 수 있도록 자신의 타입을 변화시킨다.","The user's type changes to match a type that resists or is immune to the type of the last move used by the target, but not either of its current types. The determined type of the move is used rather than the original type. Fails if the target has not made a move, if the user cannot change its type, or if this move would only be able to select one of the user's current types."
"177","aeroblast","에어로블라스트","aeroblast","flying","special","100","95","5","공기의 소용돌이를 발사하여 공격한다. 급소에 맞기 쉽다.","Has a higher chance for a critical hit."
"178","cotton-spore","목화포자","cotton-spore","grass","status","","100","40","솜처럼 폭신폭신한 포자를 착 달라붙게 해서 상대의 스피드를 크게 떨어뜨린다.","Lowers the target's Speed by 2 stages."
"179","reversal","기사회생","reversal","fighting","physical","","100","15","힘을 쥐어짜서 공격한다. 자신의 HP가 적을수록 기술의 위력이 올라간다.","The power of this move is 20 if X is 33 to 48, 40 if X is 17 to 32, 80 if X is 10 to 16, 100 if X is 5 to 9, 150 if X is 2 to 4, and 200 if X is 0 or 1, where X is equal to (user's current HP * 48 / user's maximum HP), rounded down."
"180","spite","원한","spite","ghost","status","","100","10","상대가 마지막으로 사용한 기술에 원한을 품어 그 기술의 PP를 4만큼 줄인다.","Causes the target's last move used to lose 4 PP. Fails if the target has not made a move, if the move has 0 PP, or if it no longer knows the move."
"181","powder-snow","눈싸라기","powder-snow","ice","special","40","100","25","차가운 가랑눈을 상대에게 내뿜어 공격한다. 얼음 상태로 만들 때가 있다.","Has a 10% chance to freeze the target."
"182","protect","방어","protect","normal","status","","","10","상대의 공격을 전혀 받지 않는다. 연속으로 쓰면 실패하기 쉽다.","The user is protected from most attacks made by other Pokemon during this turn. This move has a 1/X chance of being successful, where X starts at 1 and triples each time this move is successfully used. X resets to 1 if this move fails, if the user's last move used is not Baneful Bunker, Burning Bulwark, Detect, Endure, King's Shield, Max Guard, Obstruct, Protect, Quick Guard, Silk Trap, Spiky Shield, or Wide Guard, or if it was one of those moves and the user's protection was broken. Fails if the user moves last this turn."
"183","mach-punch","마하펀치","mach-punch","fighting","physical","40","100","30","눈에 보이지 않는 굉장한 속도로 펀치를 날린다. 반드시 선제공격을 할 수 있다.","No additional effect."
"184","scary-face","겁나는얼굴","scary-face","normal","status","","100","10","무서운 얼굴로 노려보고 겁주어 상대의 스피드를 크게 떨어뜨린다.","Lowers the target's Speed by 2 stages."
"185","feint-attack","속여때리기","feint-attack","dark","physical","60","","20","슬금슬금 상대에게 다가가 방심한 틈을 타서 세게 때린다. 공격은 반드시 명중한다.","This move does not check accuracy."
"186","sweet-kiss","천사의키스","sweet-kiss","fairy","status","","75","10","천사처럼 귀엽게 키스하여 상대를 혼란시킨다.","Causes the target to become confused."
"187","belly-drum","배북","belly-drum","normal","status","","","10","자신의 HP를 최대 HP의 절반만큼 감소시켜 자신의 공격을 최대로 올린다.","Raises the user's Attack by 12 stages in exchange for the user losing 1/2 of its maximum HP, rounded down. Fails if the user would faint or if its Attack stat stage is 6."
"188","sludge-bomb","오물폭탄","sludge-bomb","poison","special","90","100","10","더러운 오물을 상대에게 내던져서 공격한다. 독 상태로 만들 때가 있다.","Has a 30% chance to poison the target."
"189","mud-slap","진흙뿌리기","mud-slap","ground","special","20","100","10","상대의 얼굴 등에 진흙을 내던져서 공격한다. 명중률을 떨어뜨린다.","Has a 100% chance to lower the target's accuracy by 1 stage."
"190","octazooka","대포무노포","octazooka","water","special","65","85","10","상대의 얼굴 등에 먹물을 내뿜어 공격한다. 명중률을 떨어뜨릴 때가 있다.","Has a 50% chance to lower the target's accuracy by 1 stage."
"191","spikes","압정뿌리기","spikes","ground","status","","","20","상대의 발밑에 압정을 뿌린다. 교체된 상대 포켓몬에게 데미지를 준다.","Sets up a hazard on the opposing side of the field, damaging each opposing Pokemon that switches in, unless it is a Flying-type Pokemon or has the Levitate Ability. Can be used up to three times before failing. Opponents lose 1/8 of their maximum HP with one layer, 1/6 of their maximum HP with two layers, and 1/4 of their maximum HP with three layers, all rounded down. Can be removed from the opposing side if any Pokemon uses Tidy Up, or if any opposing Pokemon uses Mortal Spin, Rapid Spin, or Defog successfully, or is hit by Defog."
"192","zap-cannon","전자포","zap-cannon","electric","special","120","50","5","대포처럼 전기를 발사해서 공격한다. 상대를 마비 상태로 만든다.","Has a 100% chance to paralyze the target."
"193","foresight","꿰뚫어보기","foresight","normal","status","","","40","고스트타입에 효과가 없는 기술이나 회피율이 높은 상대라 할지라도 공격이 맞게 된다.","As long as the target remains active, its evasiveness stat stage is ignored during accuracy checks against it if it is greater than 0, and Normal- and Fighting-type attacks can hit the target if it is a Ghost type. Fails if the target is already affected, or affected by Miracle Eye or Odor Sleuth."
"194","destiny-bond","길동무","destiny-bond","ghost","status","","","5","기술을 쓴 뒤 공격을 받아 기절했을 때 길동무의 대상도 기절하게 한다.","Until the user's next move, if an opposing Pokemon's attack knocks the user out, that Pokemon faints as well, unless the attack was Doom Desire or Future Sight. Fails if the user used this move successfully as its last move, disregarding moves used through the Dancer Ability."
"195","perish-song","멸망의노래","perish-song","normal","status","","","5","노래를 들은 포켓몬은 3턴이 지나면 기절한다. 교체되면 효과가 없어진다.","Each active Pokemon receives a perish count of 4 if it doesn't already have a perish count. At the end of each turn including the turn used, the perish count of all active Pokemon lowers by 1 and Pokemon faint if the number reaches 0. The perish count is removed from Pokemon that switch out. If a Pokemon uses Baton Pass while it has a perish count, the replacement will gain the perish count and continue to count down."
"196","icy-wind","얼어붙은바람","icy-wind","ice","special","55","95","15","차가운 냉기를 상대에게 내뿜어 공격한다. 상대의 스피드를 떨어뜨린다.","Has a 100% chance to lower the target's Speed by 1 stage."
"197","detect","판별","detect","fighting","status","","","5","상대의 공격을 전혀 받지 않는다. 연속으로 쓰면 실패하기 쉽다.","The user is protected from most attacks made by other Pokemon during this turn. This move has a 1/X chance of being successful, where X starts at 1 and triples each time this move is successfully used. X resets to 1 if this move fails, if the user's last move used is not Baneful Bunker, Burning Bulwark, Detect, Endure, King's Shield, Max Guard, Obstruct, Protect, Quick Guard, Silk Trap, Spiky Shield, or Wide Guard, or if it was one of those moves and the user's protection was broken. Fails if the user moves last this turn."
"198","bone-rush","본러시","bone-rush","ground","physical","25","90","10","단단한 뼈로 상대를 세게 때려서 공격한다. 2-5회 동안 연속으로 쓴다.","Hits two to five times. Has a 35% chance to hit two or three times and a 15% chance to hit four or five times. If one of the hits breaks the target's substitute, it will take damage for the remaining hits. If the user has the Skill Link Ability, this move will always hit five times. If the user is holding Loaded Dice, this move will hit 4-5 times."
"199","lock-on","록온","lock-on","normal","status","","","5","조준을 잘 맞춰 다음 공격이 반드시 상대에게 명중하도록 한다.","Until the end of the next turn, the target cannot avoid the user's moves, even if the target is in the middle of a two-turn move. The effect ends if either the user or the target leaves the field. Fails if this effect is active for the user."
"200","outrage","역린","outrage","dragon","physical","120","100","10","2-3턴 동안 마구 난동 부려서 공격한다. 난동 부린 뒤에는 혼란에 빠진다.","The user spends two or three turns locked into this move and becomes confused immediately after its move on the last turn of the effect if it is not already. This move targets an opposing Pokemon at random on each turn. If the user is prevented from moving, is asleep at the beginning of a turn, or the attack is not successful against the target on the first turn of the effect or the second turn of a three-turn effect, the effect ends without causing confusion. If this move is called by Sleep Talk and the user is asleep, the move is used for one turn and does not confuse the user."
"201","sandstorm","모래바람","sandstorm","rock","status","","","10","5턴 동안 모래바람으로 바위, 땅, 강철타입 이외의 포켓몬에게 데미지를 준다.","For 5 turns, the weather becomes Sandstorm. At the end of each turn except the last, all active Pokemon lose 1/16 of their maximum HP, rounded down, unless they are a Ground, Rock, or Steel type, or have the Magic Guard, Overcoat, Sand Force, Sand Rush, or Sand Veil Abilities. During the effect, the Special Defense of Rock-type Pokemon is multiplied by 1.5 when taking damage from a special attack. Lasts for 8 turns if the user is holding Smooth Rock. Fails if the current weather is Sandstorm."
"202","giga-drain","기가드레인","giga-drain","grass","special","75","100","10","양분을 흡수하여 공격한다. 입힌 데미지의 절반에 해당하는 HP를 회복할 수 있다.","The user recovers 1/2 the HP lost by the target, rounded half up. If Big Root is held by the user, the HP recovered is 1.3x normal, rounded half down."
"203","endure","버티기","endure","normal","status","","","10","공격을 받아도 HP를 반드시 1만큼은 남긴다. 연속으로 쓰면 실패하기 쉽다.","The user will survive attacks made by other Pokemon during this turn with at least 1 HP. This move has a 1/X chance of being successful, where X starts at 1 and triples each time this move is successfully used. X resets to 1 if this move fails, if the user's last move used is not Baneful Bunker, Burning Bulwark, Detect, Endure, King's Shield, Max Guard, Obstruct, Protect, Quick Guard, Silk Trap, Spiky Shield, or Wide Guard, or if it was one of those moves and the user's protection was broken. Fails if the user moves last this turn."
"204","charm","애교부리기","charm","fairy","status","","100","20","귀엽게 바라보고 방심을 유도하여 상대의 공격을 크게 떨어뜨린다.","Lowers the target's Attack by 2 stages."
"205","rollout","구르기","rollout","rock","physical","30","90","20","5턴 동안 구르기를 반복하여 공격한다. 기술이 맞을 때마다 위력이 올라간다.","If this move is successful, the user is locked into this move and cannot make another move until it misses, 5 turns have passed, or the attack cannot be used. Power doubles with each successful hit of this move and doubles again if Defense Curl was used previously by the user. If this move is called by Sleep Talk, the move is used for one turn."
"206","false-swipe","칼등치기","false-swipe","normal","physical","40","100","40","상대의 HP가 반드시 1만큼 남도록 조절하여 공격한다.","Leaves the target with at least 1 HP."
"207","swagger","뽐내기","swagger","normal","status","","85","15","상대를 화내게 해서 혼란시킨다. 분노로 상대의 공격은 크게 올라가 버린다.","Raises the target's Attack by 2 stages and confuses it."
"208","milk-drink","우유마시기","milk-drink","normal","status","","","5","자신의 최대 HP 절반을 회복한다. 동료에게 HP를 나누어 줄 수도 있다.","The user restores 1/2 of its maximum HP, rounded half up."
"209","spark","스파크","spark","electric","physical","65","100","20","전기를 둘러 상대에게 돌진하여 공격한다. 마비 상태로 만들 때가 있다.","Has a 30% chance to paralyze the target."
"210","fury-cutter","연속자르기","fury-cutter","bug","physical","40","95","20","낫이나 발톱 등으로 상대를 베어 공격한다. 연속으로 맞히면 위력이 올라간다.","Power doubles with each successful hit, up to a maximum of 160 power. The power is reset if this move misses or another move is used."
"211","steel-wing","강철날개","steel-wing","steel","physical","70","90","25","단단한 날개를 상대에게 부딪쳐서 공격한다. 자신의 방어가 올라갈 때가 있다.","Has a 10% chance to raise the user's Defense by 1 stage."
"212","mean-look","검은눈빛","mean-look","normal","status","","","5","빨려 들어갈 것 같은 까만 눈빛으로 가만히 응시하여 상대를 배틀에서 도망갈 수 없게 한다.","Prevents the target from switching out. The target can still switch out if it is holding Shed Shell or uses Baton Pass, Flip Turn, Parting Shot, Teleport, U-turn, or Volt Switch. The effect ends if either the user or the target leaves the field."
"213","attract","헤롱헤롱","attract","normal","status","","100","15","수컷은 암컷을 암컷은 수컷을 유혹하여 헤롱헤롱하게 만든다. 상대가 기술을 쓰기 어려워진다.","Causes the target to become infatuated, making it unable to attack 50% of the time. Fails if both the user and the target are the same gender, if either is genderless, or if the target is already infatuated. The effect ends when either the user or the target is no longer active. Pokemon with the Oblivious Ability or protected by the Aroma Veil Ability are immune."
"214","sleep-talk","잠꼬대","sleep-talk","normal","status","","","10","자신이 배운 기술 중 하나를 무작위로 날린다. 자신이 잠들어 있을 때만 쓸 수 있다.","One of the user's known moves, besides this move, is selected for use at random. Fails if the user is not asleep. The selected move does not have PP deducted from it, and can currently have 0 PP. This move cannot select Assist, Beak Blast, Belch, Bide, Blazing Torque, Celebrate, Chatter, Combat Torque, Copycat, Dynamax Cannon, Focus Punch, Hold Hands, Magical Torque, Me First, Metronome, Mimic, Mirror Move, Nature Power, Noxious Torque, Shell Trap, Sketch, Sleep Talk, Struggle, Uproar, Wicked Torque, or any two-turn move."
"215","heal-bell","치료방울","heal-bell","normal","status","","","5","기분 좋은 방울소리를 들려주어 같은 편 전원의 상태 이상을 회복한다.","Every Pokemon in the user's party is cured of its non-volatile status condition. Active Pokemon with the Soundproof Ability are not cured, unless they are the user."
"216","return","은혜갚기","return","normal","physical","","100","20","트레이너를 위해 전력으로 상대를 공격한다. 친밀할수록 위력이 올라간다.","Power is equal to the greater of (user's Happiness * 2/5), rounded down, or 1."
"217","present","프레젠트","present","normal","physical","","90","15","덫을 설치한 상자를 상대에게 건네어 공격한다. HP가 회복돼버릴 때도 있다.","If this move is successful, it deals damage or heals the target. 40% chance for 40 power, 30% chance for 80 power, 10% chance for 120 power, and 20% chance to heal the target by 1/4 of its maximum HP, rounded down."
"218","frustration","화풀이","frustration","normal","physical","","100","20","불만을 풀기 위해 전력으로 상대를 공격한다. 친밀하지 않을수록 위력이 올라간다.","Power is equal to the greater of ((255 - user's Happiness) * 2/5), rounded down, or 1."
"219","safeguard","신비의부적","safeguard","normal","status","","","25","5턴 동안 이상한 힘으로 보호받아 상태 이상이 되지 않는다.","For 5 turns, the user and its party members cannot have non-volatile status conditions or confusion inflicted on them by other Pokemon. Pokemon on the user's side cannot become affected by Yawn but can fall asleep from its effect. It is removed from the user's side if the user or an ally is successfully hit by Defog. Fails if the effect is already active on the user's side."
"220","pain-split","아픔나누기","pain-split","normal","status","","","20","자신의 HP와 상대의 HP를 합친 것을 자신과 상대가 사이좋게 나눈다.","The user and the target's HP become the average of their current HP, rounded down, but not more than the maximum HP of either one."
"221","sacred-fire","성스러운불꽃","sacred-fire","fire","physical","100","95","5","신비한 불꽃으로 상대를 태워서 공격한다. 화상 상태로 만들 때가 있다.","Has a 50% chance to burn the target."
"222","magnitude","매그니튜드","magnitude","ground","physical","","100","30","땅을 흔들어서 자신의 주위에 있는 포켓몬을 공격한다. 기술의 위력이 여러모로 바뀐다.","The power of this move varies; 5% chances for 10 and 150 power, 10% chances for 30 and 110 power, 20% chances for 50 and 90 power, and 30% chance for 70 power. Damage doubles if the target is using Dig."
"223","dynamic-punch","폭발펀치","dynamic-punch","fighting","physical","100","50","5","혼신의 힘으로 펀치를 날려서 공격한다. 상대를 반드시 혼란시킨다.","Has a 100% chance to confuse the target."
"224","megahorn","메가혼","megahorn","bug","physical","120","85","10","단단하고 훌륭한 뿔로 마음껏 상대를 꿰찔러서 공격한다.","No additional effect."
"225","dragon-breath","용의숨결","dragon-breath","dragon","special","60","100","20","굉장한 숨결을 상대에게 내뿜어 공격한다. 마비 상태로 만들 때가 있다.","Has a 30% chance to paralyze the target."
"226","baton-pass","배턴터치","baton-pass","normal","status","","","40","교대 포켓몬과 바뀐다. 능력 변화는 바뀐 포켓몬이 그대로 이어받는다.","The user is replaced with another Pokemon in its party. The selected Pokemon has the user's stat stage changes transferred to it, as well as the effects of confusion, Aqua Ring, Curse, Dragon Cheer, Embargo, Focus Energy, Gastro Acid, Heal Block, Ingrain, Leech Seed, Lock-On (Mind Reader), Magnet Rise, Perish Song, Power Trick, Telekinesis, and a substitute with its remaining HP. The effect of Gastro Acid is not transferred if the recipient has an Ability that cannot be affected."
"227","encore","앙코르","encore","normal","status","","100","5","상대가 마지막으로 사용한 기술을 3턴 동안 계속 쓰게 한다.","For its next 3 turns, the target is forced to repeat its last move used. If the affected move runs out of PP, the effect ends. Fails if the target is already under this effect, if it has not made a move, if the move has 0 PP, or if the move is Assist, Blazing Torque, Combat Torque, Copycat, Dynamax Cannon, Encore, Magical Torque, Me First, Metronome, Mimic, Mirror Move, Nature Power, Noxious Torque, Sketch, Sleep Talk, Struggle, Transform, or Wicked Torque."
"228","pursuit","따라가때리기","pursuit","dark","physical","40","100","20","상대 포켓몬이 교체될 때 기술을 쓰면 2배의 위력으로 공격할 수 있다.","If an opposing Pokemon switches out this turn, this move hits that Pokemon before it leaves the field, even if it was not the original target. If the user moves after an opponent using Flip Turn, Parting Shot, Teleport, U-turn, or Volt Switch, but not Baton Pass, it will hit that opponent before it leaves the field. Power doubles and no accuracy check is done if the user hits an opponent switching out, and the user's turn is over; if an opponent faints from this, the replacement Pokemon does not become active until the end of the turn."
"229","rapid-spin","고속스핀","rapid-spin","normal","physical","50","100","40","회전해서 상대를 공격한다. 조이기, 김밥말이, 씨뿌리기, 압정뿌리기 등도 날려버린다.","If this move is successful and the user has not fainted, the effects of Leech Seed and binding moves end for the user, and all hazards are removed from the user's side of the field. Has a 100% chance to raise the user's Speed by 1 stage."
"230","sweet-scent","달콤한향기","sweet-scent","normal","status","","100","20","향기로 상대의 회피율을 크게 떨어뜨린다. 풀밭 등에서 쓰면 포켓몬이 다가온다.","Lowers the target's evasiveness by 2 stages."
"231","iron-tail","아이언테일","iron-tail","steel","physical","100","75","15","단단한 꼬리로 상대를 힘껏 쳐서 공격한다. 상대의 방어를 떨어뜨릴 때가 있다.","Has a 30% chance to lower the target's Defense by 1 stage."
"232","metal-claw","메탈클로","metal-claw","steel","physical","50","95","35","강철의 발톱으로 상대를 베어 갈라 공격한다. 자신의 공격이 올라갈 때도 있다.","Has a 10% chance to raise the user's Attack by 1 stage."
"233","vital-throw","받아던지기","vital-throw","fighting","physical","70","","10","상대보다 나중에 공격한다. 그 대신 자신의 공격은 반드시 명중한다.","This move does not check accuracy."
"234","morning-sun","아침햇살","morning-sun","normal","status","","","5","자신의 HP를 회복한다. 날씨에 따라 회복량이 변한다.","The user restores 1/2 of its maximum HP if Strong Winds or no weather conditions are in effect or if the user is holding Utility Umbrella, 2/3 of its maximum HP if the weather is Intense Sun or Sun, and 1/4 of its maximum HP if the weather is Heavy Rain, Rain, Sandstorm, or Snow, all rounded half down."
"235","synthesis","광합성","synthesis","grass","status","","","5","자신의 HP를 회복한다. 날씨에 따라 회복량이 변한다.","The user restores 1/2 of its maximum HP if Strong Winds or no weather conditions are in effect or if the user is holding Utility Umbrella, 2/3 of its maximum HP if the weather is Intense Sun or Sun, and 1/4 of its maximum HP if the weather is Heavy Rain, Rain, Sandstorm, or Snow, all rounded half down."
"236","moonlight","달빛","moonlight","fairy","status","","","5","자신의 HP를 회복한다. 날씨에 따라 회복량이 변한다.","The user restores 1/2 of its maximum HP if Strong Winds or no weather conditions are in effect or if the user is holding Utility Umbrella, 2/3 of its maximum HP if the weather is Intense Sun or Sun, and 1/4 of its maximum HP if the weather is Heavy Rain, Rain, Sandstorm, or Snow, all rounded half down."
"237","hidden-power","잠재파워","hidden-power","normal","special","60","100","15","기술을 쓴 포켓몬에 따라 기술의 타입이 바뀐다.","This move's type depends on the user's individual values (IVs), and can be any type but Fairy and Normal."
"238","cross-chop","크로스촙","cross-chop","fighting","physical","100","80","5","양손으로 당수를 상대에게 힘껏 쳐서 공격한다. 급소에 맞기 쉽다.","Has a higher chance for a critical hit."
"239","twister","회오리","twister","dragon","special","40","100","20","회오리를 일으켜 상대를 끌어들여 공격한다. 상대를 풀죽게 만들 때가 있다.","Has a 20% chance to make the target flinch. Power doubles if the target is using Bounce, Fly, or Sky Drop, or is under the effect of Sky Drop."
"240","rain-dance","비바라기","rain-dance","water","status","","","5","5턴 동안 비를 내리게 하여 물타입 기술의 위력을 올린다.","For 5 turns, the weather becomes Rain. The damage of Water-type attacks is multiplied by 1.5 and the damage of Fire-type attacks is multiplied by 0.5 during the effect. Lasts for 8 turns if the user is holding Damp Rock. Fails if the current weather is Rain."
"241","sunny-day","쾌청","sunny-day","fire","status","","","5","5턴 동안 햇살을 강하게 해서 불꽃타입 기술의 위력을 올린다.","For 5 turns, the weather becomes Sun. The damage of Fire-type attacks is multiplied by 1.5 and the damage of Water-type attacks is multiplied by 0.5 during the effect. Lasts for 8 turns if the user is holding Heat Rock. Fails if the current weather is Sun."
"242","crunch","깨물어부수기","crunch","dark","physical","80","100","15","날카로운 이빨로 상대를 깨물어 부숴서 공격한다. 상대의 방어를 떨어뜨릴 때가 있다.","Has a 20% chance to lower the target's Defense by 1 stage."
"243","mirror-coat","미러코트","mirror-coat","psychic","special","","100","20","상대에게 받은 특수공격의 데미지를 2배로 만들어 그 상대에게 돌려준다.","Deals damage to the last opposing Pokemon to hit the user with a special attack this turn equal to twice the HP lost by the user from that attack. If the user did not lose HP from the attack, this move deals 1 HP of damage instead. If that opposing Pokemon's position is no longer in use and there is another opposing Pokemon on the field, the damage is done to it instead. Only the last hit of a multi-hit attack is counted. Fails if the user was not hit by an opposing Pokemon's special attack this turn."
"244","psych-up","자기암시","psych-up","normal","status","","","10","자신에게 암시를 걸어서 능력 변화 상태를 상대와 똑같은 상태로 만든다.","The user copies all of the target's current stat stage changes."
"245","extreme-speed","신속","extreme-speed","normal","physical","80","100","5","눈에 보이지 않는 굉장한 속도로 상대에게 돌진하여 공격한다. 반드시 선제공격을 할 수 있다.","No additional effect."
"246","ancient-power","원시의힘","ancient-power","rock","special","60","100","5","원시의 힘으로 공격한다. 자신의 모든 능력이 오를 때가 있다.","Has a 10% chance to raise the user's Attack, Defense, Special Attack, Special Defense, and Speed by 1 stage."
"247","shadow-ball","섀도볼","shadow-ball","ghost","special","80","100","15","까만 그림자의 덩어리를 내던져서 공격한다. 상대의 특수방어를 떨어뜨릴 때가 있다.","Has a 20% chance to lower the target's Special Defense by 1 stage."
"248","future-sight","미래예지","future-sight","psychic","special","120","100","10","기술을 사용한 2턴 뒤에 상대에게 염동력의 덩어리를 보내어 공격한다.","Deals damage two turns after this move is used. At the end of that turn, the damage is calculated at that time and dealt to the Pokemon at the position the target had when the move was used. If the user is no longer active at the time, damage is calculated based on the user's natural Special Attack stat, types, and level, with no boosts from its held item or Ability. Fails if this move or Doom Desire is already in effect for the target's position."
"249","rock-smash","바위깨기","rock-smash","fighting","physical","40","100","15","펀치로 공격한다. 상대의 방어를 떨어뜨릴 때가 있다. 바위를 깰 수도 있다.","Has a 50% chance to lower the target's Defense by 1 stage."
"250","whirlpool","바다회오리","whirlpool","water","special","35","85","15","세차게 소용돌이치는 물속에 4-5턴 동안 상대를 가두어 공격한다.","Prevents the target from switching for four or five turns (seven turns if the user is holding Grip Claw). Causes damage to the target equal to 1/8 of its maximum HP (1/6 if the user is holding Binding Band), rounded down, at the end of each turn during effect. The target can still switch out if it is holding Shed Shell or uses Baton Pass, Flip Turn, Parting Shot, Shed Tail, Teleport, U-turn, or Volt Switch. The effect ends if either the user or the target leaves the field, or if the target uses Mortal Spin, Rapid Spin, or Substitute successfully. This effect is not stackable or reset by using this or another binding move."
"251","beat-up","집단구타","beat-up","dark","physical","","100","10","같은 편 전원이 공격한다. 동료 포켓몬이 많을수록 기술의 공격 횟수가 증가한다.","Hits one time for the user and one time for each unfainted Pokemon without a non-volatile status condition in the user's party. The power of each hit is equal to 5+(X/10), where X is each participating Pokemon's base Attack; each hit is considered to come from the user."
"252","fake-out","속이기","fake-out","normal","physical","40","100","10","선제공격으로 상대를 풀죽게 한다. 배틀에 나가서 바로 쓰지 않으면 성공할 수 없다.","Has a 100% chance to make the target flinch. Fails unless it is the user's first turn on the field."
"253","uproar","소란피기","uproar","normal","special","90","100","10","3턴 동안 소란 피워 공격한다. 그 동안은 아무도 잠들지 않게 된다.","The user spends three turns locked into this move. This move targets an opponent at random on each turn. On the first of the three turns, all sleeping active Pokemon wake up. During the three turns, no active Pokemon can fall asleep by any means, and Pokemon switched in during the effect do not wake up. If the user is prevented from moving or the attack is not successful against the target during one of the turns, the effect ends."
"254","stockpile","비축하기","stockpile","normal","status","","","20","힘을 비축해서 자신의 방어와 특수방어를 올린다. 최대 3회까지 비축할 수 있다.","Raises the user's Defense and Special Defense by 1 stage. The user's Stockpile count increases by 1. Fails if the user's Stockpile count is 3. The user's Stockpile count is reset to 0 when it is no longer active."
"255","spit-up","토해내기","spit-up","normal","special","","100","10","비축된 힘을 상대에게 부딪쳐서 공격한다. 비축된 만큼 위력이 올라간다.","Power is equal to 100 times the user's Stockpile count. Fails if the user's Stockpile count is 0. Whether or not this move is successful, the user's Defense and Special Defense decrease by as many stages as Stockpile had increased them, and the user's Stockpile count resets to 0."
"256","swallow","꿀꺽","swallow","normal","status","","","10","비축된 힘을 꿀꺽해서 자신의 HP를 회복한다. 비축된 만큼 회복한다.","The user restores its HP based on its Stockpile count. Restores 1/4 of its maximum HP if it's 1, 1/2 of its maximum HP if it's 2, both rounded half down, and all of its HP if it's 3. Fails if the user's Stockpile count is 0. The user's Defense and Special Defense decrease by as many stages as Stockpile had increased them, and the user's Stockpile count resets to 0."
"257","heat-wave","열풍","heat-wave","fire","special","95","90","10","뜨거운 숨결을 상대에게 내뿜어 공격한다. 화상 상태로 만들 때가 있다.","Has a 10% chance to burn the target."
"258","hail","싸라기눈","hail","ice","status","","","10","5턴 동안 싸라기눈을 내리게 해 얼음타입이 아닌 포켓몬 모두에게 데미지를 준다.","For 5 turns, the weather becomes Hail. At the end of each turn except the last, all active Pokemon lose 1/16 of their maximum HP, rounded down, unless they are an Ice type or have the Ice Body, Magic Guard, Overcoat, or Snow Cloak Abilities. Lasts for 8 turns if the user is holding Icy Rock. Fails if the current weather is Hail."
"259","torment","트집","torment","dark","status","","100","15","상대에게 트집을 잡아서 똑같은 기술을 2회 연속으로 쓸 수 없게 한다.","Prevents the target from selecting the same move for use two turns in a row. This effect ends when the target is no longer active."
"260","flatter","부추기기","flatter","dark","status","","100","15","상대를 부추겨서 혼란시킨다. 동시에 상대의 특수공격도 올라가 버린다.","Raises the target's Special Attack by 1 stage and confuses it."
"261","will-o-wisp","도깨비불","will-o-wisp","fire","status","","85","15","으스스하고 괴상한 불꽃을 쏘아 상대를 화상 상태로 만든다.","Burns the target."
"262","memento","추억의선물","memento","dark","status","","100","10","자신은 기절하게 되지만 그 대신 상대의 공격과 특수공격을 크게 떨어뜨린다.","Lowers the target's Attack and Special Attack by 2 stages. The user faints unless this move misses or there is no target. Fails entirely if this move hits a substitute, but does not fail if the target's stats cannot be changed."
"263","facade","객기","facade","normal","physical","70","100","20","자신이 독, 마비, 화상 상태일 때 날리면 기술의 위력이 2배가 된다.","Power doubles if the user is burned, paralyzed, or poisoned. The physical damage halving effect from the user's burn is ignored."
"264","focus-punch","힘껏펀치","focus-punch","fighting","physical","150","100","20","정신력을 높여 펀치를 날린다. 기술을 쓰기 전에 공격을 받으면 실패한다.","The user loses its focus and does nothing if it is hit by a damaging attack this turn before it can execute the move."
"265","smelling-salts","정신차리기","smelling-salts","normal","physical","70","100","10","마비 상태의 상대에게는 위력이 2배가 되지만 대신 상대의 마비가 풀린다.","Power doubles if the target is paralyzed. If the user has not fainted, the target is cured of paralysis."
